"Date","Price","Open","High","Low","Vol.","Change %"
"05/31/2024","57.0504","57.4664","57.4733","57.3427","","0.01%"
"05/30/2024","57.0424","57.4644","57.4692","57.3407","","0.01%"
"05/29/2024","57.0384","57.4595","57.4673","57.0750","","-0.73%"
"05/28/2024","57.4595","57.4595","57.4595","57.1000","","0.00%"
"05/27/2024","57.4595","57.4578","57.4595","57.4578","","0.00%"
"05/24/2024","57.4578","57.4532","57.4607","57.4293","","0.01%"
"05/23/2024","57.4532","57.4510","57.4532","57.3000","","0.00%"
"05/22/2024","57.4510","57.4464","57.4538","57.0957","","0.01%"
"05/21/2024","57.4464","57.4444","57.4464","57.2750","","0.00%"
"05/20/2024","57.4444","57.4395","57.4473","57.4159","","0.01%"
"05/17/2024","57.4395","57.4370","57.4395","57.2800","","0.00%"
"05/16/2024","57.4370","57.4330","57.4370","57.4330","","0.01%"
"05/15/2024","57.4330","57.4313","57.4359","57.2000","","0.00%"
"05/14/2024","57.4313","57.4268","57.4342","57.2500","","0.01%"
"05/13/2024","57.4268","57.3988","57.4296","57.3960","","0.01%"
"05/10/2024","57.4202","57.4202","57.4231","56.8415","","0.00%"
"05/09/2024","57.4202","57.4182","57.4202","56.9138","","0.00%"
"05/08/2024","57.4182","57.4139","57.4182","57.2500","","0.01%"
"05/07/2024","57.4139","57.4119","57.4139","57.2300","","0.00%"
"05/06/2024","57.4119","57.4048","57.4119","57.2000","","0.01%"
"05/03/2024","57.4048","57.4048","57.4048","56.8750","","0.00%"
"05/02/2024","57.4048","57.4048","57.4048","57.0500","","0.00%"
"05/01/2024","57.4048","57.4048","57.4048","57.4048","","0.00%"
"04/30/2024","57.4048","57.3997","57.4048","57.3997","","0.01%"
"04/29/2024","57.3997","57.3903","57.3997","57.3100","","0.02%"
"04/26/2024","57.3903","56.9525","57.3903","56.9525","","0.90%"
"04/25/2024","56.8795","56.9434","57.2397","56.9128","","0.03%"
"04/24/2024","56.8613","56.9377","57.1806","56.9128","","0.02%"
"04/23/2024","56.8499","56.9289","57.0667","56.9093","","0.03%"
"04/22/2024","56.8323","56.9230","57.1811","56.8778","","0.02%"
"04/19/2024","56.8204","56.9138","57.0702","56.8727","","0.03%"
"04/18/2024","56.8022","56.8993","57.1511","56.8527","","0.05%"
"04/17/2024","56.7732","56.8993","57.0866","56.8628","","0.00%"
"04/16/2024","56.7732","56.8937","56.9228","56.8503","","0.02%"
"04/15/2024","56.7619","56.8843","56.9059","56.8377","","0.03%"
"04/12/2024","56.7432","56.8792","56.8966","56.8377","","0.02%"
"04/11/2024","56.7329","56.8702","56.8792","56.8702","","0.03%"
"04/10/2024","56.7148","56.8702","57.0324","56.8219","","0.00%"
"04/09/2024","56.7148","56.8647","57.0324","56.8128","","0.02%"
"04/08/2024","56.7040","56.8554","56.9613","56.8364","","0.03%"
"04/05/2024","56.6853","56.8503","57.0426","56.8128","","0.02%"
"04/04/2024","56.6751","56.8415","56.8531","56.6500","","0.03%"
"04/03/2024","56.6576","56.8356","56.8486","56.8132","","0.02%"
"04/02/2024","56.6457","56.8271","56.8356","56.8246","","0.03%"
"04/01/2024","56.6287","56.8246","56.8736","56.7988","","0.01%"
"03/29/2024","56.6236","56.8197","56.9118","56.8128","","0.02%"
"03/28/2024","56.6139","56.8169","56.9319","56.7627","","0.01%"
"03/27/2024","56.6083","56.8126","57.0042","56.7627","","0.02%"
"03/26/2024","56.5998","56.8101","56.9999","56.7627","","0.01%"
"03/25/2024","56.5947","56.8050","56.9473","56.7627","","0.02%"
"03/22/2024","56.5845","56.8022","56.9173","56.6500","","0.01%"
"03/21/2024","56.5789","56.7971","56.8057","56.7688","","0.02%"
"03/20/2024","56.5687","56.7971","56.9094","56.7627","","0.11%"
"03/19/2024","56.5070","56.7892","56.8818","56.7608","","-0.08%"
"03/18/2024","56.5528","56.7864","56.8764","56.7608","","0.01%"
"03/15/2024","56.5472","56.7816","56.8486","56.7581","","0.02%"
"03/14/2024","56.5376","56.7787","56.8188","56.7386","","0.01%"
"03/13/2024","56.5319","56.7736","56.7787","56.7736","","0.02%"
"03/12/2024","56.5217","56.7714","56.8108","56.7627","","0.01%"
"03/11/2024","56.5172","56.7668","56.8086","56.7431","","0.02%"
"03/08/2024","56.5082","56.7643","56.8041","56.7386","","0.01%"
"03/07/2024","56.5031","56.7589","56.7643","56.7589","","0.02%"
"03/06/2024","56.4924","56.7561","56.8212","56.7127","","0.01%"
"03/05/2024","56.4867","56.7510","56.7601","56.7202","","0.02%"
"03/04/2024","56.4766","56.7485","56.7510","56.7485","","0.01%"
"03/01/2024","56.4715","56.7439","56.8000","56.7202","","0.02%"
"02/29/2024","56.4624","56.7383","56.7462","56.7383","","0.02%"
"02/28/2024","56.4511","56.7299","56.7383","56.7150","","0.03%"
"02/27/2024","56.4342","56.7239","56.7299","56.7050","","0.02%"
"02/26/2024","56.4224","56.7152","56.7239","56.6974","","0.03%"
"02/23/2024","56.4049","56.7099","56.7152","56.6900","","0.02%"
"02/22/2024","56.3942","56.7016","56.7099","56.6500","","0.03%"
"02/21/2024","56.3778","56.6966","56.7045","56.6557","","0.02%"
"02/20/2024","56.3677","56.6822","56.6995","56.4937","","0.05%"
"02/19/2024","56.3389","56.6822","56.6822","56.6822","","0.00%"
"02/16/2024","56.3389","56.6735","56.6851","56.6063","","0.03%"
"02/15/2024","56.3215","56.6675","56.6763","56.5776","","0.02%"
"02/14/2024","56.3096","56.6586","56.6704","56.5766","","0.03%"
"02/13/2024","56.2916","56.6530","56.6614","56.5640","","0.02%"
"02/12/2024","56.2804","56.6445","56.6530","56.6445","","0.03%"
"02/09/2024","56.2635","56.6386","56.6445","56.5500","","0.02%"
"02/08/2024","56.2517","56.6299","56.6414","56.5227","","0.03%"
"02/07/2024","56.2343","56.6245","56.6328","56.5391","","0.02%"
"02/06/2024","56.2236","56.6161","56.6274","56.5000","","0.03%"
"02/05/2024","56.2067","56.6091","56.6161","56.6091","","0.02%"
"02/02/2024","56.1927","56.6007","56.6091","56.5000","","-0.72%"
"02/01/2024","56.6007","56.5959","56.6007","56.4500","","0.01%"
"01/31/2024","56.5959","56.5933","56.6170","56.5000","","0.00%"
"01/30/2024","56.5933","56.5888","56.5962","56.4500","","0.01%"
"01/29/2024","56.5888","56.5866","56.5917","56.4230","","0.00%"
"01/26/2024","56.5866","56.5827","56.5895","56.4458","","0.01%"
"01/25/2024","56.5827","56.5807","56.5827","56.4000","","0.00%"
"01/24/2024","56.5807","56.5765","56.5835","56.4899","","0.01%"
"01/23/2024","56.5765","56.5746","56.5765","56.4300","","0.00%"
"01/22/2024","56.5746","56.5698","56.5774","56.3500","","0.01%"
"01/19/2024","56.5698","56.5672","56.5727","56.4226","","0.00%"
"01/18/2024","56.5672","56.5634","56.5672","56.5634","","0.01%"
"01/17/2024","56.5634","56.5616","56.5662","56.3975","","0.00%"
"01/16/2024","56.5616","56.5572","56.5645","56.3459","","0.01%"
"01/15/2024","56.5572","56.5549","56.5572","56.5549","","0.00%"
"01/12/2024","56.5549","56.5507","56.5549","56.3250","","0.01%"
"01/11/2024","56.5507","56.5488","56.5507","56.3250","","0.00%"
"01/10/2024","56.5488","56.5255","56.5488","56.3750","","0.01%"
"01/09/2024","56.5443","56.5255","56.5453","56.3750","","0.00%"
"01/08/2024","56.5453","56.5255","56.5453","56.3300","","0.04%"
"01/05/2024","56.5255","56.5255","56.5378","56.1600","","0.00%"
"01/04/2024","56.5255","56.5308","56.5355","56.1500","","0.00%"
"01/03/2024","56.5255","56.5255","56.5308","56.2000","","0.00%"
"01/02/2024","56.5255","56.3266","56.5255","56.1500","","0.94%"
"01/01/2024","55.9969","56.3266","56.3266","56.3266","","0.00%"
"12/29/2023","55.9969","56.3180","56.3295","56.1350","","0.03%"
"12/28/2023","55.9796","56.3124","56.3209","56.1500","","0.02%"
"12/27/2023","55.9684","56.3032","56.3153","56.1250","","0.03%"
"12/26/2023","55.9499","56.2889","56.3032","56.2889","","0.05%"
"12/25/2023","55.9214","56.2889","56.2889","56.2889","","0.00%"
"12/22/2023","55.9214","56.2827","56.2918","56.2687","","0.02%"
"12/21/2023","55.9091","56.2733","56.2827","56.2733","","0.03%"
"12/20/2023","55.8901","56.2679","56.2761","56.2453","","0.02%"
"12/19/2023","55.8795","56.2587","56.2897","56.2282","","0.03%"
"12/18/2023","55.8610","56.2525","56.2616","56.0968","","0.02%"
"12/15/2023","55.8487","56.2431","56.2525","55.8750","","0.03%"
"12/14/2023","55.8298","56.2375","56.2459","55.8000","","-0.72%"
"12/13/2023","56.2375","56.2291","56.2432","55.7700","","0.01%"
"12/12/2023","56.2291","56.2238","56.2291","55.7700","","0.01%"
"12/11/2023","56.2238","56.2149","56.2267","55.7700","","0.02%"
"12/08/2023","56.2149","56.2090","56.2178","55.7600","","0.01%"
"12/07/2023","56.2090","56.2004","56.2090","55.7600","","0.02%"
"12/06/2023","56.2004","56.1954","56.2004","55.7000","","0.01%"
"12/05/2023","56.1954","56.1862","56.1954","55.7000","","0.02%"
"12/04/2023","56.1862","56.1832","56.1862","55.7000","","0.01%"
"12/01/2023","56.1832","56.1709","56.1832","55.6900","","0.02%"
"11/30/2023","56.1709","56.1709","56.1781","55.7500","","0.00%"
"11/29/2023","56.1709","56.1709","56.1754","55.7500","","0.00%"
"11/28/2023","56.1709","56.1684","56.1714","55.6850","","0.00%"
"11/27/2023","56.1684","56.1639","56.1684","55.6700","","0.01%"
"11/24/2023","56.1639","56.1612","56.1639","55.6550","","0.00%"
"11/23/2023","56.1612","56.1564","56.1612","55.9347","","0.01%"
"11/22/2023","56.1564","55.9364","56.1564","55.9364","","0.91%"
"11/21/2023","55.6503","55.9314","55.9392","55.5750","","0.02%"
"11/20/2023","55.6403","55.9288","55.9370","55.5750","","0.01%"
"11/17/2023","55.6353","55.9244","55.9316","55.6200","","0.02%"
"11/16/2023","55.6264","55.9216","55.9244","55.6200","","0.01%"
"11/15/2023","55.6208","55.9169","55.9244","55.6150","","0.02%"
"11/14/2023","55.6114","55.9146","55.9169","55.6000","","0.01%"
"11/13/2023","55.6069","55.8028","55.9146","55.5416","","0.02%"
"11/10/2023","55.5969","55.9066","55.9124","55.6000","","0.01%"
"11/09/2023","55.5908","55.9021","55.9066","55.5200","","0.02%"
"11/08/2023","55.5819","55.8993","55.9049","55.5000","","0.01%"
"11/07/2023","55.5763","55.8943","55.9021","55.5000","","0.02%"
"11/06/2023","55.5663","55.8918","55.8943","55.4900","","0.01%"
"11/03/2023","55.5613","55.8871","55.8946","55.4600","","0.02%"
"11/02/2023","55.5519","55.8780","55.8871","55.4600","","0.03%"
"11/01/2023","55.5336","55.8586","55.8780","55.4500","","0.07%"
"10/31/2023","55.4947","55.8586","55.8755","55.4500","","0.00%"
"10/30/2023","55.4947","55.8586","55.8586","55.4500","","0.00%"
"10/27/2023","55.4947","55.8505","55.8586","55.5000","","0.03%"
